judul,narasi,clear,token_komen,freq_words,stemmed_komen,polarity_score,polarity,score
SBY Sudah Telepon Moeldoko Suruh Jokowi Akui Kekalahan,"Bantu sebar ya
Pak SBY sudah telpon Moeldoko, suruh JKW akui kekalahan. Ini info dari seorang jenderal… Jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
INFO VALID",bantu sebar ya pak sby telpon moeldoko suruh jkw akui kekalahan info seorang jenderal… jadi gak usah gusar panik ya pejuangpejuang info valid,"['bantu', 'sebar', 'ya', 'pak', 'sby', 'telpon', 'moeldoko', 'suruh', 'jkw', 'akui', 'kekalahan', 'info', 'seorang', 'jenderal…', 'jadi', 'gak', 'usah', 'gusar', 'panik', 'ya', 'pejuangpejuang', 'info', 'valid']",<FreqDist with 21 samples and 23 outcomes>,"['bantu', 'sebar', 'ya', 'pak', 'sby', 'telpon', 'moeldoko', 'suruh', 'jkw', 'aku', 'kalah', 'info', 'orang', 'jenderal', 'jadi', 'gak', 'usah', 'gusar', 'panik', 'ya', 'pejuangpejuang', 'info', 'valid']",-13,negative,-1
Foto Anak Rohingya Disiksa Komunis,Relakah anak cucu kita dibikin seperti anak2 rohingya ini ketika Komunis berkuasa…???,relakah anak cucu dibikin anak rohingya ketika komunis berkuasa…,"['relakah', 'anak', 'cucu', 'dibikin', 'anak', 'rohingya', 'ketika', 'komunis', 'berkuasa…']",<FreqDist with 8 samples and 9 outcomes>,"['rela', 'anak', 'cucu', 'bikin', 'anak', 'rohingya', 'ketika', 'komunis', 'kuasa']",-6,negative,-1
orang Cina punya KTP Cilacap atas nama Karsono,"Ini kejadian di PLN PLTU Cilacap Bunton Adipala, orang Cina tidak bisa berbahasa Indonesia apalagi bahasa jawa Banyumasan tp punya KTP Cilacap atas nama Karsono, payah kie Camat dan Bupatine
Kalau bener2 terjadi…😭😭😭",kejadian pln pltu cilacap bunton adipala orang cina bisa berbahasa indonesia bahasa jawa banyumasan tp punya ktp cilacap atas nama karsono payah kie camat bupatine kalau bener terjadi…,"['kejadian', 'pln', 'pltu', 'cilacap', 'bunton', 'adipala', 'orang', 'cina', 'bisa', 'berbahasa', 'indonesia', 'bahasa', 'jawa', 'banyumasan', 'tp', 'punya', 'ktp', 'cilacap', 'atas', 'nama', 'karsono', 'payah', 'kie', 'camat', 'bupatine', 'kalau', 'bener', 'terjadi…']",<FreqDist with 27 samples and 28 outcomes>,"['jadi', 'pln', 'pltu', 'cilacap', 'bunton', 'adipala', 'orang', 'cina', 'bisa', 'bahasa', 'indonesia', 'bahasa', 'jawa', 'banyumasan', 'tp', 'punya', 'ktp', 'cilacap', 'atas', 'nama', 'karsono', 'payah', 'kie', 'camat', 'bupatine', 'kalau', 'bener', 'jadi']",-3,negative,-1
Fadli Zon : Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari Indonesia,Fadlizon: Semua warga Indonesia yg tdk pilih Prabowo di Pilpres 2019 akan km usir dr Indonesia. Serius ini si Zonk?! https://t.co/jVjxC0jhmp,fadlizon semua warga indonesia tdk pilih prabowo pilpres km usir indonesia serius si zonk,"['fadlizon', 'semua', 'warga', 'indonesia', 'tdk', 'pilih', 'prabowo', 'pilpres', 'km', 'usir', 'indonesia', 'serius', 'si', 'zonk']",<FreqDist with 13 samples and 14 outcomes>,"['fadlizon', 'semua', 'warga', 'indonesia', 'tdk', 'pilih', 'prabowo', 'pilpres', 'km', 'usir', 'indonesia', 'serius', 'si', 'zonk']",-14,negative,-1
Pesan Berantai Undian Berhadiah Dari Kementerian Tenaga Kerja Untuk Pekerja Migran Indonesia  di Hongkong,"INFORMASI RESMI DARI DEPNAKER REPUBLIK INDONESIA !!!!!
 Selamat Anda Terpilih Mendapatkan PENGHARGAAN sebesar NT $. 350.000 dari DEPARTEMEN KETENAGA KERJAAN INDONESIA. Sebagai Pahlawan Devisa Negara terbaik Tahun 2017-2018. Kode registrasi TWN37589
 Hubungi Call office:
 +62853-9313-1245
 A/n HARYONO
 Atau kunjungi Alamat Website:
 www.DEPNAKER.yolasite.com
 1. Bagi anda penerimah pemberitahuan ini melalui Telephone atau Sms Whatsapp. Berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi.
 2. Penghargaan Depnaker Bebas Biaya dan telah mendapat sertifikat Bebas pajak dari pemerintah Republik Indonesia.
 3. Pengurusan Penghargaan telah mendapat Pengawasan dari Kepolisian Negara Republik Indonesia dumaksudkan untuk menghindari hal-hal Negatif.
 Peringatan:
 HATI HATI PENIPUAN BILA DALAM PENGURUSAN ANDA DIMINTAI BIAYA, DARI OKNUM OKNUM YANG TIDAK BERTANGGUNH JAWAB. TANPA SEPENGETAHUAN DARI PIHAK DEPNAKER RI.
 pengirim:
 Depnaker Ri.
 73538373777",informasi resmi depnaker republik indonesia selamat terpilih mendapatkan penghargaan sebesar nt departemen ketenaga kerjaan indonesia pahlawan devisa negara terbaik tahun kode registrasi twn hubungi call office an haryono kunjungi alamat website penerimah pemberitahuan melalui telephone sms whatsapp berarti resmi mendapatkan penghargaan tersebut diundi lagi penghargaan depnaker bebas biaya mendapat sertifikat bebas pajak pemerintah republik indonesia pengurusan penghargaan telah mendapat pengawasan kepolisian negara republik indonesia dumaksudkan menghindari halhal negatif peringatan hati hati penipuan bila pengurusan anda dimintai biaya oknum oknum tidak bertanggunh jawab sepengetahuan pihak depnaker ri pengirim depnaker ri,"['informasi', 'resmi', 'depnaker', 'republik', 'indonesia', 'selamat', 'terpilih', 'mendapatkan', 'penghargaan', 'sebesar', 'nt', 'departemen', 'ketenaga', 'kerjaan', 'indonesia', 'pahlawan', 'devisa', 'negara', 'terbaik', 'tahun', 'kode', 'registrasi', 'twn', 'hubungi', 'call', 'office', 'an', 'haryono', 'kunjungi', 'alamat', 'website', 'penerimah', 'pemberitahuan', 'melalui', 'telephone', 'sms', 'whatsapp', 'berarti', 'resmi', 'mendapatkan', 'penghargaan', 'tersebut', 'diundi', 'lagi', 'penghargaan', 'depnaker', 'bebas', 'biaya', 'mendapat', 'sertifikat', 'bebas', 'pajak', 'pemerintah', 'republik', 'indonesia', 'pengurusan', 'penghargaan', 'telah', 'mendapat', 'pengawasan', 'kepolisian', 'negara', 'republik', 'indonesia', 'dumaksudkan', 'menghindari', 'halhal', 'negatif', 'peringatan', 'hati', 'hati', 'penipuan', 'bila', 'pengurusan', 'anda', 'dimintai', 'biaya', 'oknum', 'oknum', 'tidak', 'bertanggunh', 'jawab', 'sepengetahuan', 'pihak', 'depnaker', 'ri', 'pengirim', 'depnaker', 'ri']",<FreqDist with 68 samples and 89 outcomes>,"['informasi', 'resmi', 'depnaker', 'republik', 'indonesia', 'selamat', 'pilih', 'dapat', 'harga', 'besar', 'nt', 'departemen', 'tenaga', 'kerja', 'indonesia', 'pahlawan', 'devisa', 'negara', 'baik', 'tahun', 'kode', 'registrasi', 'twn', 'hubung', 'call', 'office', 'an', 'haryono', 'kunjung', 'alamat', 'website', 'penerimah', 'pemberitahuan', 'lalu', 'telephone', 'sms', 'whatsapp', 'arti', 'resmi', 'dapat', 'harga', 'sebut', 'undi', 'lagi', 'harga', 'depnaker', 'bebas', 'biaya', 'dapat', 'sertifikat', 'bebas', 'pajak', 'perintah', 'republik', 'indonesia', 'urus', 'harga', 'telah', 'dapat', 'awas', 'polisi', 'negara', 'republik', 'indonesia', 'dumaksudkan', 'hindar', 'halhal', 'negatif', 'ingat', 'hati', 'hati', 'tipu', 'bila', 'urus', 'anda', 'minta', 'biaya', 'oknum', 'oknum', 'tidak', 'bertanggunh', 'jawab', 'tahu', 'pihak', 'depnaker', 'ri', 'kirim', 'depnaker', 'ri']",14,positive,1
Indonesia di Penuhi PKI,Hahhahhahahhaha indonesia di penuhi pki …gimanah nih pa kowi…..,hahhahhahahhaha indonesia penuhi pki …gimanah pa kowi…,"['hahhahhahahhaha', 'indonesia', 'penuhi', 'pki', '…gimanah', 'pa', 'kowi…']",<FreqDist with 7 samples and 7 outcomes>,"['hahhahhahahhaha', 'indonesia', 'penuh', 'pki', 'gimanah', 'pa', 'kowi']",-5,negative,-1
Sandi Sarankan Warga Ngadu ke Kelurahan Saja,Astaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai Kota ,astaga sandiaga sarankan warga ngadu kelurahan tak perlu balai kota,"['astaga', 'sandiaga', 'sarankan', 'warga', 'ngadu', 'kelurahan', 'tak', 'perlu', 'balai', 'kota']",<FreqDist with 10 samples and 10 outcomes>,"['astaga', 'sandiaga', 'saran', 'warga', 'ngadu', 'lurah', 'tak', 'perlu', 'balai', 'kota']",-6,negative,-1
Demo dan Konflik antara Ojek Online dengan Angkutan Umum di Bandung,"Prediksi Besok Bandung kota. Besok Di sinyalir ada Dua Kubu besar 1.Demo lg besar”an 2.Ojek Online gabungan Mau Kumpul Minta Tggung jawab ke kubu Angkot Gabungan, Soalnya Di jl.bkr Grab ojek Di Tabrak Sngaja sampe Mati, Di buah batu grab Mati Jg Di Tabrak Angkot, Di karapitan Grab jg Di Gebukin Angkot, Ada jg ojek online Yg Hilang Ga ada kabar.....",prediksi besok bandung kota besok sinyalir dua kubu besar demo besar ” an ojek online gabungan mau kumpul minta tggung jawab kubu angkot gabungan soalnya jlbkr grab ojek tabrak sngaja sampe mati buah batu grab mati tabrak angkot di karapitan grab di gebukin angkot jg ojek online hilang ada kabar,"['prediksi', 'besok', 'bandung', 'kota', 'besok', 'sinyalir', 'dua', 'kubu', 'besar', 'demo', 'besar', '”', 'an', 'ojek', 'online', 'gabungan', 'mau', 'kumpul', 'minta', 'tggung', 'jawab', 'kubu', 'angkot', 'gabungan', 'soalnya', 'jlbkr', 'grab', 'ojek', 'tabrak', 'sngaja', 'sampe', 'mati', 'buah', 'batu', 'grab', 'mati', 'tabrak', 'angkot', 'di', 'karapitan', 'grab', 'di', 'gebukin', 'angkot', 'jg', 'ojek', 'online', 'hilang', 'ada', 'kabar']",<FreqDist with 36 samples and 50 outcomes>,"['prediksi', 'besok', 'bandung', 'kota', 'besok', 'sinyalir', 'dua', 'kubu', 'besar', 'demo', 'besar', '', 'an', 'ojek', 'online', 'gabung', 'mau', 'kumpul', 'minta', 'tggung', 'jawab', 'kubu', 'angkot', 'gabung', 'soal', 'jlbkr', 'grab', 'ojek', 'tabrak', 'sngaja', 'sampe', 'mati', 'buah', 'batu', 'grab', 'mati', 'tabrak', 'angkot', 'di', 'karapitan', 'grab', 'di', 'gebukin', 'angkot', 'jg', 'ojek', 'online', 'hilang', 'ada', 'kabar']",-24,negative,-1
"Irina, Istri Ahli IT Hermansyah disebut Mantan PSK","Irina, Istri Ahli IT Hermansyah disebut Mantan PSK",irina istri ahli it hermansyah disebut mantan psk,"['irina', 'istri', 'ahli', 'it', 'hermansyah', 'disebut', 'mantan', 'psk']",<FreqDist with 8 samples and 8 outcomes>,"['irina', 'istri', 'ahli', 'it', 'hermansyah', 'sebut', 'mantan', 'psk']",-3,negative,-1
"Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung","Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",nezar patria kader pki ikut rapat malam istana jam malam tuduhan alfian tandjung,"['nezar', 'patria', 'kader', 'pki', 'ikut', 'rapat', 'malam', 'istana', 'jam', 'malam', 'tuduhan', 'alfian', 'tandjung']",<FreqDist with 12 samples and 13 outcomes>,"['nezar', 'patria', 'kader', 'pki', 'ikut', 'rapat', 'malam', 'istana', 'jam', 'malam', 'tuduh', 'alfian', 'tandjung']",-7,negative,-1
